,Accuracy(Log Reg),Train-Time(Log Reg),Accuracy(Decision Tree),Train-Time(Decision Tree),Accuracy(Random Forest),Train-Time(Random Forest),Accuracy(Naive Bayes),Train-Time(Naive Bayes),Accuracy(SVM),Train-Time(SVM)
655,0.965034965034965,0.04689168930053711,0.951048951048951,0.0,0.965034965034965,0.17272520065307617,0.965034965034965,0.0,0.958041958041958,1.4569263458251953
656,0.951048951048951,0.04527163505554199,0.9440559440559441,0.0,0.9440559440559441,0.17273354530334473,0.9440559440559441,0.0009949207305908203,0.9790209790209791,1.6789827346801758
657,0.958041958041958,0.046892404556274414,0.9230769230769231,0.015631437301635742,0.965034965034965,0.1722116470336914,0.951048951048951,0.0,0.9790209790209791,1.9954218864440918
658,0.965034965034965,0.03113698959350586,0.916083916083916,0.0,0.965034965034965,0.20293736457824707,0.951048951048951,0.0010008811950683594,0.965034965034965,0.6706478595733643
659,0.916083916083916,0.04688382148742676,0.8951048951048951,0.0,0.9440559440559441,0.18834519386291504,0.9230769230769231,0.0,0.9370629370629371,1.1228063106536865
660,0.9440559440559441,0.04713106155395508,0.965034965034965,0.0,0.951048951048951,0.1571044921875,0.9440559440559441,0.0,0.9440559440559441,1.067000150680542
661,0.9440559440559441,0.0316469669342041,0.9230769230769231,0.015630245208740234,0.9790209790209791,0.17232918739318848,0.958041958041958,0.0,0.958041958041958,0.8804600238800049
662,0.965034965034965,0.031644582748413086,0.958041958041958,0.015632152557373047,0.986013986013986,0.18834877014160156,0.9370629370629371,0.0010006427764892578,0.9790209790209791,0.7055721282958984
663,0.916083916083916,0.04687023162841797,0.916083916083916,0.0,0.958041958041958,0.17271733283996582,0.9440559440559441,0.01563119888305664,0.9440559440559441,3.0074446201324463
664,0.958041958041958,0.06291890144348145,0.9440559440559441,0.0,0.9440559440559441,0.22110867500305176,0.9370629370629371,0.0010001659393310547,0.958041958041958,1.1142024993896484
665,0.965034965034965,0.04727458953857422,0.9230769230769231,0.0,0.986013986013986,0.20398950576782227,0.958041958041958,0.0,0.972027972027972,0.6795816421508789
666,0.9370629370629371,0.0468900203704834,0.9020979020979021,0.0,0.9440559440559441,0.1883373260498047,0.9230769230769231,0.0,0.9370629370629371,0.5576093196868896
667,0.9440559440559441,0.046885013580322266,0.9020979020979021,0.0,0.9440559440559441,0.17271733283996582,0.9020979020979021,0.0,0.9440559440559441,0.7478988170623779
668,0.9300699300699301,0.0514218807220459,0.9230769230769231,0.0,0.958041958041958,0.17271161079406738,0.9370629370629371,0.0,0.9440559440559441,1.2997403144836426
669,0.9300699300699301,0.06228828430175781,0.9090909090909091,0.0030095577239990234,0.9230769230769231,0.16970372200012207,0.9090909090909091,0.0,0.9370629370629371,1.565164566040039
670,0.951048951048951,0.0468904972076416,0.951048951048951,0.0,0.9790209790209791,0.18836021423339844,0.9300699300699301,0.0010035037994384766,0.9440559440559441,1.7222845554351807
671,0.965034965034965,0.046891212463378906,0.9300699300699301,0.0,0.9790209790209791,0.172715425491333,0.972027972027972,0.0,0.965034965034965,2.282707452774048
672,0.965034965034965,0.03126120567321777,0.9440559440559441,0.015631914138793945,0.993006993006993,0.20634198188781738,0.951048951048951,0.0009980201721191406,0.958041958041958,0.7366242408752441
673,0.9230769230769231,0.0312647819519043,0.8951048951048951,0.01562976837158203,0.9230769230769231,0.15708017349243164,0.9020979020979021,0.0,0.9370629370629371,0.5959322452545166
