,Unnamed: 0,Time(Log_Reg),Time(Lasso_Reg),Time(ELastic_Reg),Time(Rid_Reg),Accuracy(Log_Reg),Accuracy(Lasso_Reg),Accuracy(Elastic_Reg),Accuracy(Rid_Reg),MSE(Log_Reg),MSE(Lasso_Reg),MSE(Elastic_Reg),MSE(Rid_Reg),R-sq(Log_Reg),R-sq(Lasso_Reg),R-sq(Elastic_Reg),R-sq(Rid_Reg)
296,296,0.0290024280548095,0.0009994506835937,0.0009999275207519,0.0010004043579101,0.9473684210526316,0.901609858651566,0.9108720442643538,0.8811285289702895,0.0526315789473684,0.184270801765212,0.1765526144993537,0.2056540680437006,0.9162995594713657,0.901609858651566,0.9108720442643538,0.8811285289702895
297,297,0.0250003337860107,0.0,0.0,0.001000165939331,0.9736842105263158,0.8973090543671179,0.8964994823141705,0.8806833711687233,0.0263157894736842,0.1868320139840311,0.1879312514291367,0.2008343709358158,0.9508408796895214,0.8973090543671179,0.8964994823141705,0.8806833711687233
298,298,0.030001163482666,0.0009999275207519,0.0,0.0009999275207519,0.9210526315789472,0.9368330685037254,0.9336868523299638,0.9420615702918984,0.0789473684210526,0.1628388144119303,0.1580524300399167,0.16544129178773,0.9011274934952298,0.9368330685037254,0.9336868523299638,0.9420615702918984
299,299,0.0290009975433349,0.0009987354278564,0.0,0.0010011196136474,0.8947368421052632,0.9144180934536472,0.913587157612271,0.9143180590566194,0.1052631578947368,0.1889937833121175,0.1917323930557525,0.1907542474272886,0.8517073170731707,0.9144180934536472,0.913587157612271,0.9143180590566194
300,300,0.0229988098144531,0.0009999275207519,0.0,0.0009996891021728,0.9473684210526316,0.90882743177335,0.9067644298735912,0.911604667913075,0.0526315789473684,0.1690044856838655,0.1674191375077198,0.1688939524634984,0.9090909090909092,0.90882743177335,0.9067644298735912,0.911604667913075
301,301,0.0270023345947265,0.0009999275207519,0.0009999275207519,0.0,0.9473684210526316,0.8898520662264137,0.8898122573444263,0.8805506624570906,0.0526315789473684,0.2029346057606823,0.2034921369397945,0.2156107377611123,0.905,0.8898520662264137,0.8898122573444263,0.8805506624570906
302,302,0.0250036716461181,0.001000165939331,0.0,0.0009999275207519,0.9473684210526316,0.9079790557224278,0.9023286067769896,0.9139551364584492,0.0526315789473684,0.1900439544249153,0.1979205265367664,0.1880179984829967,0.9192348565356004,0.9079790557224278,0.9023286067769896,0.9139551364584492
303,303,0.0249993801116943,0.0,0.0,0.0,0.9473684210526316,0.9045142121813332,0.8947259848765312,0.9062763099588188,0.0526315789473684,0.1856184092787766,0.1937983279790079,0.1888416026307658,0.9129438717067584,0.9045142121813332,0.8947259848765312,0.9062763099588188
304,304,0.0240013599395751,0.0,0.0,0.001000165939331,0.9473684210526316,0.9337261054804934,0.9334005943487294,0.9360149315837984,0.0526315789473684,0.1661236098019802,0.161450561868625,0.1717429957996241,0.9283018867924528,0.9337261054804934,0.9334005943487294,0.9360149315837984
305,305,0.0280017852783203,0.0010006427764892,0.0010004043579101,0.0,0.9473684210526316,0.8984964882858049,0.8961255766850639,0.9001524503564278,0.0526315789473684,0.1771155313973285,0.1756635187797861,0.182916626503784,0.9036755386565272,0.8984964882858049,0.8961255766850639,0.9001524503564278
